,book,rating,title
208,/book/show/10804869-the-40-hour-work-year,4.23,The 40 Hour Work Year
209,/book/show/10805160-broken-harbour,3.93,Broken Harbour
210,/book/show/10813469-rock-chick-renegade,4.46,Rock Chick Renegade
211,/book/show/10815624-death-on-the-marais,3.98,Death On The Marais
212,/book/show/10816297-kill-shot,4.3,Kill Shot
213,/book/show/10818441-the-california-roll,3.53,The California Roll
214,/book/show/10818853-fifty-shades-of-grey,3.659999999999998,Fifty Shades Of Grey
215,/book/show/10826004-damian-s-oracle,4.02,Damian S Oracle
216,/book/show/10835337-the-thousand-autumns-of-jacob-de-zoet,4.03,The Thousand Autumns Of Jacob De Zoet
217,/book/show/10836728-the-rook,4.12,The Rook
218,/book/show/10836810-the-last-nude,3.79,The Last Nude
219,/book/show/10838776-the-goddess-inheritance,3.97,The Goddess Inheritance
220,/book/show/10842271-started-early-took-my-dog,3.9,Started Early Took My Dog
221,/book/show/10842553-nobody-cries-at-bingo,3.9,Nobody Cries At Bingo
222,/book/show/10843139-nail-your-novel---why-writers-abandon-books-and-how-you-can-draft-fix-a,4.03,Nail Your Novel   Why Writers Abandon Books And How You Can Draft Fix A
223,/book/show/10852343-stormdancer,3.8,Stormdancer
224,/book/show/10852689-bad-boys-do,3.96,Bad Boys Do
225,/book/show/10853886-scarecrow-returns,4.26,Scarecrow Returns
226,/book/show/10854908-last-man-in-tower,3.52,Last Man In Tower
227,/book/show/10856198-the-chalk-girl,4.07,The Chalk Girl
228,/book/show/10859860-the-perfect-nazi,3.73,The Perfect Nazi
229,/book/show/10862724-batman,4.31,Batman
230,/book/show/10863082-tarzan-of-the-apes-fall-river-press-edition,3.89,Tarzan Of The Apes Fall River Press Edition
231,/book/show/10863144-she-s-come-undone,3.86,She S Come Undone
232,/book/show/10863979-outside,3.37,Outside
233,/book/show/10866286-11-22-63,4.3,11 22 63
234,/book/show/10870570-shikasta,4.14,Shikasta
235,/book/show/10872085-only-time-will-tell,4.06,Only Time Will Tell
236,/book/show/10874177-etiquette-espionage,3.8,Etiquette Espionage
237,/book/show/10876214-blood-meridian-or-the-evening-redness-in-the-west,4.18,Blood Meridian Or The Evening Redness In The West
238,/book/show/10880546-villainous-vixens-in,5.0,Villainous Vixens In
239,/book/show/10884686-the-mahabharata-re-imagined,3.15,The Mahabharata Re Imagined
240,/book/show/10889618-civilization,3.81,Civilization
241,/book/show/10890319-adorkable,3.6,Adorkable
242,/book/show/10893138-the-time-of-my-life,3.86,The Time Of My Life
243,/book/show/10908947-je-vous-cris-du-v-l-d-hiv,4.29,Je Vous Cris Du V L D Hiv
244,/book/show/10909804-just-my-type,3.81,Just My Type
245,/book/show/10910164-mud-sweat-and-tears,4.15,Mud Sweat And Tears
246,/book/show/10912036-pretty-guardian-sailor-moon-vol-2,4.42,Pretty Guardian Sailor Moon Vol 2
247,/book/show/10915279-the-fatal-touch,3.66,The Fatal Touch
248,/book/show/10916717-the-three-musketeers,4.07,The Three Musketeers
249,/book/show/10917118-longing,4.28,Longing
250,/book/show/10917460-yotsuba-vol-10,4.57,Yotsuba Vol 10
251,/book/show/10931321-against-all-enemies,3.96,Against All Enemies
252,/book/show/10941562-turned,3.4,Turned
253,/book/show/10947662-the-extinct,3.4,The Extinct
254,/book/show/10948889-dead-witch-walking,4.04,Dead Witch Walking
255,/book/show/10950924-the-dovekeepers,4.03,The Dovekeepers
256,/book/show/10954704-ready-for-love,4.26,Ready For Love
257,/book/show/10954854-the-naked-earl,3.64,The Naked Earl
258,/book/show/10955056-pacific-crucible,4.44,Pacific Crucible
259,/book/show/10960383-a-grown-up-kind-of-pretty,3.93,A Grown Up Kind Of Pretty
260,/book/show/10969738-little-birds,3.77,Little Birds
261,/book/show/10970532-the-siren,4.05,The Siren
262,/book/show/10973610-pack-your-bags-and-get-out,4.33,Pack Your Bags And Get Out
263,/book/show/10985446-the-captive-queen,3.71,The Captive Queen
264,/book/show/10993282-lover-reborn,4.35,Lover Reborn
